epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,7409.7,1.15044,0.72864,1.24961,0.97885,0.94881,0.98578,0.64064,1.33178,0.50811,1.45913,0.006337,0.006337,0.006337
113,7475.72,1.14897,0.74221,1.25017,0.96696,0.95563,0.98664,0.64014,1.33948,0.50483,1.46352,0.006304,0.006304,0.006304
114,7541.69,1.13314,0.72,1.23019,0.98563,0.93613,0.98369,0.64636,1.32857,0.51478,1.44794,0.006271,0.006271,0.006271
115,7607.59,1.13464,0.72228,1.23717,0.95615,0.96246,0.9827,0.63736,1.32763,0.51737,1.45781,0.006238,0.006238,0.006238
116,7673.53,1.13377,0.71927,1.23737,0.97563,0.95661,0.98419,0.63478,1.34021,0.51605,1.46051,0.006205,0.006205,0.006205
117,7739.6,1.11954,0.70972,1.22607,0.97883,0.9469,0.98626,0.6334,1.34268,0.5142,1.46716,0.006172,0.006172,0.006172
118,7805.32,1.13169,0.71364,1.23659,0.96252,0.96928,0.9834,0.64262,1.3346,0.5145,1.46024,0.006139,0.006139,0.006139
119,7871.14,1.12122,0.70238,1.22433,0.98583,0.94994,0.98384,0.64168,1.33118,0.51627,1.46623,0.006106,0.006106,0.006106
120,7936.85,1.13017,0.70872,1.23623,0.99291,0.95647,0.98729,0.63795,1.32938,0.51473,1.46774,0.006073,0.006073,0.006073
121,8002.66,1.11228,0.70035,1.22458,0.98818,0.94539,0.98804,0.64455,1.30716,0.51306,1.44063,0.00604,0.00604,0.00604
122,8068.61,1.11458,0.70665,1.2288,0.9873,0.95904,0.98837,0.64749,1.30654,0.5092,1.44398,0.006007,0.006007,0.006007
123,8134.35,1.10372,0.69792,1.21628,0.97268,0.96246,0.98373,0.64616,1.31473,0.49466,1.44668,0.005974,0.005974,0.005974
124,8200.18,1.11397,0.7021,1.22936,0.97326,0.9727,0.98692,0.65162,1.29206,0.47245,1.42923,0.005941,0.005941,0.005941
125,8265.95,1.12346,0.71329,1.22839,0.96625,0.97724,0.9873,0.65135,1.30049,0.46878,1.43682,0.005908,0.005908,0.005908
126,8331.92,1.1078,0.70043,1.22197,0.98185,0.95904,0.98871,0.6497,1.30997,0.4815,1.44469,0.005875,0.005875,0.005875
127,8398.22,1.09256,0.68712,1.20877,0.97973,0.95563,0.98538,0.64946,1.31253,0.48353,1.45043,0.005842,0.005842,0.005842
128,8464.36,1.10352,0.6933,1.21958,0.99287,0.95101,0.98891,0.64566,1.31224,0.48028,1.45286,0.005809,0.005809,0.005809
129,8530.22,1.08986,0.68316,1.20849,0.96604,0.971,0.98717,0.64965,1.30541,0.48199,1.44921,0.005776,0.005776,0.005776
130,8596.1,1.07895,0.67613,1.20785,0.98575,0.94456,0.98968,0.64836,1.31892,0.49303,1.46198,0.005743,0.005743,0.005743
131,8661.99,1.09019,0.68949,1.21321,0.97986,0.95904,0.98965,0.64831,1.31747,0.49007,1.45563,0.00571,0.00571,0.00571
132,8728.01,1.08847,0.68162,1.20985,0.97248,0.96494,0.98925,0.65102,1.31076,0.48907,1.45324,0.005677,0.005677,0.005677
133,8794.3,1.08873,0.68657,1.20493,0.96604,0.97101,0.9906,0.65247,1.30929,0.48627,1.44936,0.005644,0.005644,0.005644
134,8860.12,1.08473,0.67576,1.20423,0.97323,0.95904,0.9867,0.65361,1.30923,0.48492,1.45021,0.005611,0.005611,0.005611
135,8926.37,1.09818,0.68528,1.21392,0.98264,0.96568,0.99166,0.65655,1.30871,0.48078,1.44891,0.005578,0.005578,0.005578
136,8992.16,1.08275,0.6779,1.20141,0.98944,0.95953,0.99012,0.65494,1.31112,0.48089,1.44799,0.005545,0.005545,0.005545
